feature,value,id,kind
pitcher,684007,1,categorical
pitcher,808967,2,categorical
pitcher,676962,3,categorical
pitcher,607455,4,categorical
pitcher,676508,5,categorical
pitcher,669212,6,categorical
pitcher,595014,7,categorical
pitcher,518489,8,categorical
pitcher,656945,9,categorical
pitcher,657006,10,categorical
pitcher,808963,11,categorical
pitcher,472610,12,categorical
pitcher,663878,13,categorical
pitcher,676263,14,categorical
pitcher,573204,15,categorical
pitcher,689017,16,categorical
pitcher,657240,17,categorical
pitcher,687863,18,categorical
pitcher,489446,19,categorical
pitcher,519151,20,categorical
pitcher,681911,21,categorical
pitcher,650633,22,categorical
pitcher,519242,23,categorical
pitcher,689690,24,categorical
pitcher,673513,25,categorical
pitcher,669093,26,categorical
pitcher,669276,27,categorical
pitcher,593576,28,categorical
pitcher,607481,29,categorical
pitcher,592094,30,categorical
pitcher,656550,31,categorical
pitcher,663158,32,categorical
pitcher,605483,33,categorical
pitcher,669373,34,categorical
pitcher,605154,35,categorical
pitcher,669724,36,categorical
pitcher,689225,37,categorical
pitcher,669302,38,categorical
pitcher,622663,39,categorical
pitcher,621053,40,categorical
pitcher,663423,41,categorical
pitcher,600917,42,categorical
pitcher,519008,43,categorical
pitcher,662253,44,categorical
pitcher,543243,45,categorical
pitcher,641154,46,categorical
pitcher,681517,47,categorical
pitcher,667463,48,categorical
pitcher,686973,49,categorical
pitcher,688297,50,categorical
pitcher,663485,51,categorical
pitcher,664208,52,categorical
pitcher,643377,53,categorical
pitcher,623437,54,categorical
pitcher,664854,55,categorical
pitcher,668678,56,categorical
pitcher,669194,57,categorical
pitcher,656222,58,categorical
pitcher,686826,59,categorical
pitcher,543135,60,categorical
pitcher,676979,61,categorical
pitcher,676477,62,categorical
pitcher,676395,63,categorical
pitcher,455119,64,categorical
pitcher,547973,65,categorical
pitcher,592426,66,categorical
pitcher,542888,67,categorical
pitcher,686580,68,categorical
pitcher,680732,69,categorical
pitcher,579328,70,categorical
pitcher,682171,71,categorical
pitcher,696270,72,categorical
pitcher,673929,73,categorical
pitcher,605182,74,categorical
pitcher,670032,75,categorical
pitcher,592155,76,categorical
pitcher,669022,77,categorical
pitcher,554430,78,categorical
pitcher,608371,79,categorical
pitcher,678606,80,categorical
pitcher,689147,81,categorical
pitcher,605447,82,categorical
pitcher,640448,83,categorical
pitcher,621237,84,categorical
pitcher,621363,85,categorical
pitcher,674285,86,categorical
pitcher,621381,87,categorical
pitcher,621244,88,categorical
pitcher,621107,89,categorical
pitcher,663992,90,categorical
pitcher,606930,91,categorical
pitcher,643338,92,categorical
pitcher,622554,93,categorical
pitcher,684320,94,categorical
pitcher,669211,95,categorical
pitcher,680704,96,categorical
pitcher,641329,97,categorical
pitcher,607074,98,categorical
pitcher,642547,99,categorical
pitcher,657612,100,categorical
pitcher,663542,101,categorical
pitcher,643410,102,categorical
pitcher,657649,103,categorical
pitcher,606303,104,categorical
pitcher,596133,105,categorical
pitcher,641302,106,categorical
pitcher,642207,107,categorical
pitcher,666142,108,categorical
pitcher,594902,109,categorical
pitcher,672582,110,categorical
pitcher,671922,111,categorical
pitcher,668674,112,categorical
pitcher,682120,113,categorical
pitcher,640451,114,categorical
pitcher,683769,115,categorical
pitcher,608032,116,categorical
pitcher,661403,117,categorical
pitcher,669674,118,categorical
pitcher,623149,119,categorical
pitcher,664285,120,categorical
pitcher,605280,121,categorical
pitcher,623211,122,categorical
pitcher,650556,123,categorical
pitcher,664849,124,categorical
pitcher,623352,125,categorical
pitcher,668881,126,categorical
pitcher,657277,127,categorical
pitcher,605130,128,categorical
pitcher,678495,129,categorical
pitcher,641941,130,categorical
pitcher,669062,131,categorical
pitcher,663574,132,categorical
pitcher,643511,133,categorical
pitcher,664139,134,categorical
pitcher,594580,135,categorical
pitcher,676254,136,categorical
pitcher,645261,137,categorical
pitcher,694973,138,categorical
pitcher,669199,139,categorical
pitcher,642701,140,categorical
pitcher,621366,141,categorical
pitcher,666277,142,categorical
pitcher,657571,143,categorical
pitcher,670059,144,categorical
pitcher,622786,145,categorical
pitcher,670280,146,categorical
pitcher,686613,147,categorical
pitcher,656731,148,categorical
pitcher,657585,149,categorical
pitcher,595345,150,categorical
pitcher,621345,151,categorical
pitcher,605463,152,categorical
pitcher,592773,153,categorical
pitcher,664351,154,categorical
pitcher,621242,155,categorical
pitcher,622491,156,categorical
pitcher,605488,157,categorical
pitcher,666619,158,categorical
pitcher,660825,159,categorical
pitcher,642048,160,categorical
pitcher,686993,161,categorical
pitcher,672841,162,categorical
pitcher,687765,163,categorical
pitcher,656302,164,categorical
pitcher,625643,165,categorical
pitcher,670970,166,categorical
pitcher,572955,167,categorical
pitcher,678226,168,categorical
pitcher,518876,169,categorical
pitcher,592791,170,categorical
pitcher,573009,171,categorical
pitcher,641745,172,categorical
pitcher,571946,173,categorical
pitcher,656427,174,categorical
pitcher,663947,175,categorical
pitcher,676684,176,categorical
pitcher,592454,177,categorical
pitcher,687362,178,categorical
pitcher,656605,179,categorical
pitcher,663969,180,categorical
pitcher,685107,181,categorical
pitcher,592332,182,categorical
pitcher,450203,183,categorical
pitcher,544150,184,categorical
pitcher,554340,185,categorical
pitcher,672335,186,categorical
pitcher,663893,187,categorical
pitcher,642397,188,categorical
pitcher,683004,189,categorical
pitcher,656557,190,categorical
pitcher,669711,191,categorical
pitcher,687847,192,categorical
pitcher,571948,193,categorical
pitcher,657514,194,categorical
pitcher,657097,195,categorical
pitcher,686752,196,categorical
pitcher,607536,197,categorical
pitcher,685801,198,categorical
pitcher,641755,199,categorical
pitcher,683409,200,categorical
pitcher,682254,201,categorical
pitcher,680767,202,categorical
pitcher,664126,203,categorical
pitcher,681190,204,categorical
pitcher,680885,205,categorical
pitcher,593974,206,categorical
pitcher,660853,207,categorical
pitcher,682243,208,categorical
pitcher,674370,209,categorical
pitcher,663687,210,categorical
pitcher,668716,211,categorical
pitcher,676092,212,categorical
pitcher,642100,213,categorical
pitcher,695243,214,categorical
pitcher,607200,215,categorical
pitcher,657746,216,categorical
pitcher,660896,217,categorical
pitcher,681676,218,categorical
pitcher,543056,219,categorical
pitcher,668941,220,categorical
pitcher,661395,221,categorical
pitcher,607625,222,categorical
pitcher,668909,223,categorical
pitcher,663738,224,categorical
pitcher,596001,225,categorical
pitcher,681293,226,categorical
pitcher,656288,227,categorical
pitcher,676130,228,categorical
pitcher,687911,229,categorical
pitcher,668820,230,categorical
pitcher,641816,231,categorical
pitcher,621111,232,categorical
pitcher,458677,233,categorical
pitcher,642520,234,categorical
pitcher,677161,235,categorical
pitcher,694297,236,categorical
pitcher,679885,237,categorical
pitcher,681857,238,categorical
pitcher,676428,239,categorical
pitcher,628317,240,categorical
pitcher,686563,241,categorical
pitcher,667755,242,categorical
pitcher,669060,243,categorical
pitcher,690829,244,categorical
pitcher,445276,245,categorical
pitcher,663623,246,categorical
pitcher,666200,247,categorical
pitcher,687377,248,categorical
pitcher,614179,249,categorical
pitcher,621383,250,categorical
pitcher,672578,251,categorical
pitcher,605452,252,categorical
pitcher,453286,253,categorical
pitcher,665152,254,categorical
pitcher,666974,255,categorical
pitcher,656546,256,categorical
pitcher,642585,257,categorical
pitcher,641793,258,categorical
pitcher,622608,259,categorical
pitcher,678821,260,categorical
pitcher,623474,261,categorical
pitcher,664076,262,categorical
pitcher,518397,263,categorical
pitcher,655889,264,categorical
pitcher,678020,265,categorical
pitcher,687330,266,categorical
pitcher,608331,267,categorical
pitcher,641482,268,categorical
pitcher,671162,269,categorical
pitcher,672782,270,categorical
pitcher,665625,271,categorical
pitcher,687396,272,categorical
pitcher,694477,273,categorical
pitcher,471911,274,categorical
pitcher,641343,275,categorical
pitcher,678368,276,categorical
pitcher,663559,277,categorical
pitcher,678692,278,categorical
pitcher,664875,279,categorical
pitcher,669622,280,categorical
pitcher,676534,281,categorical
pitcher,666214,282,categorical
pitcher,641835,283,categorical
pitcher,666157,284,categorical
pitcher,434378,285,categorical
pitcher,702352,286,categorical
pitcher,668933,287,categorical
pitcher,642152,288,categorical
pitcher,608379,289,categorical
pitcher,676440,290,categorical
pitcher,608717,291,categorical
pitcher,670167,292,categorical
pitcher,676282,293,categorical
pitcher,693433,294,categorical
pitcher,676664,295,categorical
pitcher,601713,296,categorical
pitcher,700363,297,categorical
pitcher,660761,298,categorical
pitcher,593958,299,categorical
pitcher,571510,300,categorical
pitcher,657044,301,categorical
pitcher,607067,302,categorical
pitcher,640462,303,categorical
pitcher,594798,304,categorical
pitcher,690916,305,categorical
pitcher,669467,306,categorical
pitcher,641927,307,categorical
pitcher,677976,308,categorical
pitcher,571927,309,categorical
pitcher,676974,310,categorical
pitcher,571760,311,categorical
pitcher,675540,312,categorical
pitcher,607259,313,categorical
pitcher,592662,314,categorical
pitcher,573124,315,categorical
pitcher,608718,316,categorical
pitcher,666808,317,categorical
pitcher,573186,318,categorical
pitcher,650644,319,categorical
pitcher,656730,320,categorical
pitcher,518585,321,categorical
pitcher,642232,322,categorical
pitcher,671737,323,categorical
pitcher,663372,324,categorical
pitcher,656234,325,categorical
pitcher,670955,326,categorical
pitcher,605135,327,categorical
pitcher,608372,328,categorical
pitcher,621199,329,categorical
pitcher,680730,330,categorical
pitcher,605400,331,categorical
pitcher,605347,332,categorical
pitcher,695418,333,categorical
pitcher,663436,334,categorical
pitcher,686799,335,categorical
pitcher,666171,336,categorical
pitcher,656271,337,categorical
pitcher,686642,338,categorical
pitcher,676106,339,categorical
pitcher,695549,340,categorical
pitcher,606996,341,categorical
pitcher,682847,342,categorical
pitcher,663474,343,categorical
pitcher,607192,344,categorical
pitcher,445926,345,categorical
pitcher,628452,346,categorical
pitcher,683155,347,categorical
pitcher,640902,348,categorical
pitcher,650911,349,categorical
pitcher,608566,350,categorical
pitcher,687134,351,categorical
pitcher,571945,352,categorical
pitcher,542881,353,categorical
pitcher,672282,354,categorical
pitcher,680729,355,categorical
pitcher,660730,356,categorical
pitcher,663460,357,categorical
pitcher,681982,358,categorical
pitcher,669854,359,categorical
pitcher,663855,360,categorical
pitcher,687473,361,categorical
pitcher,606160,362,categorical
pitcher,527048,363,categorical
pitcher,663978,364,categorical
pitcher,670766,365,categorical
pitcher,678024,366,categorical
pitcher,650489,367,categorical
pitcher,685126,368,categorical
pitcher,670102,369,categorical
pitcher,647336,370,categorical
pitcher,656876,371,categorical
pitcher,669387,372,categorical
pitcher,669438,373,categorical
pitcher,615698,374,categorical
pitcher,656849,375,categorical
pitcher,678215,376,categorical
pitcher,663903,377,categorical
pitcher,677958,378,categorical
pitcher,700249,379,categorical
pitcher,656794,380,categorical
pitcher,681867,381,categorical
pitcher,671106,382,categorical
pitcher,678316,383,categorical
pitcher,663554,384,categorical
pitcher,646242,385,categorical
pitcher,669160,386,categorical
pitcher,547179,387,categorical
pitcher,682842,388,categorical
pitcher,669713,389,categorical
pitcher,681343,390,categorical
pitcher,680573,391,categorical
pitcher,592866,392,categorical
pitcher,689254,393,categorical
pitcher,701542,394,categorical
pitcher,669203,395,categorical
pitcher,493603,396,categorical
pitcher,669358,397,categorical
pitcher,802419,398,categorical
pitcher,669461,399,categorical
pitcher,543294,400,categorical
pitcher,666120,401,categorical
pitcher,673540,402,categorical
pitcher,686730,403,categorical
pitcher,622780,404,categorical
pitcher,693821,405,categorical
pitcher,694738,406,categorical
pitcher,806185,407,categorical
pitcher,687922,408,categorical
pitcher,592836,409,categorical
pitcher,622379,410,categorical
pitcher,702674,411,categorical
pitcher,534910,412,categorical
pitcher,801403,413,categorical
pitcher,663767,414,categorical
pitcher,670810,415,categorical
pitcher,690928,416,categorical
pitcher,700669,417,categorical
pitcher,656240,418,categorical
pitcher,669422,419,categorical
pitcher,476594,420,categorical
pitcher,683232,421,categorical
pitcher,571578,422,categorical
pitcher,656457,423,categorical
pitcher,641656,424,categorical
pitcher,670174,425,categorical
pitcher,680736,426,categorical
pitcher,671131,427,categorical
